,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
0,257312.9585863,129.5030059814453,-524.6610107421875,-652.1510009765625,-58931.25,16563.75,89853.75,287.2799987792969,-218.8800048828125,252.32000732421875
1,257312.9836137,28.79199981689453,-481.10699462890625,-620.552978515625,-62728.75,22758.75,111545.0,253.83999633789062,-264.4800109863281,243.1999969482422
2,257313.022463,-6.710000038146973,-361.9739990234375,-643.7329711914062,-32182.5,9336.25,125177.5,247.75999450683594,-300.9599914550781,237.1199951171875
3,257313.0767357,-161.8939971923828,-396.6830139160156,-715.5910034179688,-6440.0,38788.75,133770.0,208.24000549316406,-354.1600036621094,221.9199981689453
4,257313.1004064,3.2939999103546143,-381.37200927734375,-706.5020141601562,-6545.0,35306.25,94097.5,158.0800018310547,-398.239990234375,255.36000061035156
5,257313.1248528,-24.643999099731445,-283.28399658203125,-754.7529907226562,-21752.5,23537.5,82451.25,147.44000244140625,-405.8399963378906,252.32000732421875
6,257313.1486078,-66.18499755859375,-135.66400146484375,-791.6580200195312,-12705.0,12241.25,85400.0,89.68000030517578,-443.8399963378906,249.27999877929688
7,257313.2121541,-127.5510025024414,-179.88900756835938,-875.593994140625,10045.0,25138.75,97886.25,94.23999786376953,-448.3999938964844,272.0799865722656
8,257313.2340338,-255.89500427246094,-270.16900634765625,-897.8590087890625,31325.0,41378.75,130007.5,28.8799991607666,-475.760009765625,262.9599914550781
9,257313.2641643,-31.17099952697754,-357.52099609375,-860.5269775390625,16056.25,42848.75,165401.25,-45.599998474121094,-497.0400085449219,288.79998779296875
10,257313.3493255,-17.018999099731445,-388.2650146484375,-860.5880126953125,-6877.5,26048.75,136727.5,-107.91999816894531,-507.67999267578125,275.1199951171875
11,257313.3866301,-30.256000518798828,-319.7619934082031,-918.35498046875,21831.25,26425.0,74777.5,-147.44000244140625,-509.20001220703125,299.44000244140625
12,257313.4499663,-63.1349983215332,-369.1109924316406,-1006.2559814453125,3106.25,45342.5,33355.0,-174.8000030517578,-495.5199890136719,302.4800109863281
13,257313.5591013,123.83000183105469,-307.01300048828125,-971.6690063476562,1093.75,39900.0,40906.25,-202.16000366210938,-494.0,290.32000732421875
14,257313.5950202,53.862998962402344,-215.87899780273438,-974.9630126953125,2703.75,27790.0,64058.75,-212.8000030517578,-489.44000244140625,297.9200134277344
15,257313.6291073,0.3659999966621399,-169.9459991455078,-983.8079833984375,12915.0,37283.75,98848.75,-266.0,-492.4800109863281,284.239990234375
16,257313.6847407,29.889999389648438,-285.2969970703125,-992.7750244140625,20107.5,40530.0,100966.25,-320.7200012207031,-480.32000732421875,313.1199951171875
17,257313.7319065,40.625999450683594,-324.0929870605469,-998.875,22706.25,32261.25,50067.5,-346.55999755859375,-471.20001220703125,299.44000244140625
18,257313.7803147,148.4739990234375,-309.57501220703125,-928.0540161132812,1610.0,41737.5,49551.25,-378.4800109863281,-451.44000244140625,297.9200134277344
19,257313.8066749,224.35800170898438,-349.468994140625,-789.3400268554688,708.75,18628.75,31465.0,-387.6000061035156,-434.7200012207031,313.1199951171875
20,257313.8306469,175.67999267578125,-247.53799438476562,-862.844970703125,17850.0,-11637.5,20238.75,-427.1199951171875,-436.239990234375,320.7200012207031
21,257313.8878218,27.023000717163086,-395.4630126953125,-867.7860107421875,22846.25,4611.25,19591.25,-416.4800109863281,-431.67999267578125,308.55999755859375
22,257313.9151558,57.34000015258789,-299.0220031738281,-996.739990234375,-12416.25,13063.75,18970.0,-419.5199890136719,-431.67999267578125,317.67999267578125
23,257313.9643262,139.38499450683594,-516.4869995117188,-866.9320068359375,24316.25,10578.75,30100.0,-440.79998779296875,-425.6000061035156,343.5199890136719
24,257314.0264724,98.14900207519531,-721.7520141601562,-590.47998046875,-85583.75,1478.75,41763.75,-456.0,-430.1600036621094,304.0
25,257314.0610202,68.13700103759766,-419.25299072265625,-673.4400024414062,-40932.5,-17377.5,21332.5,-456.0,-442.32000732421875,305.5199890136719
26,257314.1390108,-62.4640007019043,-607.3770141601562,-768.6610107421875,-11410.0,-25908.75,-4112.5,-454.4800109863281,-462.0799865722656,294.8800048828125
27,257314.200324,-206.05799865722656,-466.4670104980469,-719.1900024414062,-89766.25,14323.75,-1881.25,-459.0400085449219,-465.1199951171875,285.760009765625
28,257314.2438176,24.034000396728516,197.21299743652344,-837.3469848632812,-123576.25,30353.75,12652.5,-448.3999938964844,-487.9200134277344,253.83999633789062
29,257314.2719238,27.083999633789062,-59.9630012512207,-978.3179931640625,48448.75,-19468.75,52351.25,-466.6400146484375,-492.4800109863281,223.44000244140625
30,257314.3128152,-48.00699996948242,97.84400177001953,-856.2570190429688,-39016.25,-23931.25,93065.0,-506.1600036621094,-474.239990234375,223.44000244140625
31,257314.3935562,-90.8290023803711,0.7319999933242798,-735.4769897460938,86485.0,-14805.0,88978.75,-512.239990234375,-445.3599853515625,246.24000549316406
32,257314.4426507,-134.9929962158203,-161.28399658203125,-654.530029296875,35778.75,-8277.5,77603.75,-545.6799926757812,-401.2799987792969,285.760009765625
33,257314.5080126,-192.0279998779297,-184.22000122070312,-670.9390258789062,60760.0,16948.75,111291.25,-566.9600219726562,-367.8399963378906,290.32000732421875
34,257314.5373175,-55.20500183105469,-285.7850036621094,-742.3090209960938,83903.75,38561.25,72931.25,-601.9199829101562,-293.3599853515625,307.0400085449219
35,257314.5705674,78.99500274658203,-291.5190124511719,-772.68701171875,60567.5,25025.0,19398.75,-611.0399780273438,-276.6400146484375,302.4800109863281
36,257314.6173675,65.75800323486328,-270.4739990234375,-792.3900146484375,63402.5,30240.0,13956.25,-618.6400146484375,-246.24000549316406,299.44000244140625
37,257314.6632099,86.86399841308594,-397.1099853515625,-725.9609985351562,80806.25,10281.25,20028.75,-638.4000244140625,-202.16000366210938,314.6400146484375
38,257314.7233639,75.39600372314453,-519.35400390625,-680.5159912109375,98761.25,-8452.5,4147.5,-632.3200073242188,-180.8800048828125,299.44000244140625
39,257314.7603971,15.859999656677246,-574.802978515625,-787.448974609375,50190.0,-4943.75,-14455.0,-638.4000244140625,-165.67999267578125,310.0799865722656
40,257314.8121081,335.37799072265625,-1148.9959716796875,-1030.9000244140625,155627.5,-25576.25,5302.5,-623.2000122070312,-141.36000061035156,335.9200134277344
41,257314.8770996,340.3190002441406,-1232.0169677734375,-876.9970092773438,85723.75,-59456.25,23432.5,-626.239990234375,-101.83999633789062,346.55999755859375
42,257314.9220051,219.3560028076172,-1128.2559814453125,-657.885009765625,39033.75,-95243.75,1015.0,-620.1599731445312,-59.279998779296875,380.0
43,257314.9827362,306.15899658203125,-1065.7919921875,-655.8720092773438,7735.0,-141058.75,-44511.25,-562.4000244140625,-72.95999908447266,414.9599914550781
44,257315.0235468,-69.90599822998047,-1190.4150390625,-791.718994140625,5678.75,-154463.75,-83387.5,-486.3999938964844,-94.23999786376953,492.4800109863281
45,257315.0795967,-316.8949890136719,-891.8809814453125,-669.4749755859375,-23800.0,-98105.0,-82521.25,-452.9599914550781,-114.0,516.7999877929688
46,257315.1141599,-407.5409851074219,-1004.85302734375,-410.16400146484375,-13982.5,-89180.0,-143010.0,-386.0799865722656,-150.47999572753906,535.0399780273438
47,257315.1671457,-216.85499572753906,-945.927001953125,-434.4419860839844,-67200.0,-94185.0,-210770.0,-352.6400146484375,-199.1199951171875,551.760009765625
48,257315.214863,-108.45800018310547,-609.8170166015625,-421.5710144042969,-44686.25,-146580.0,-121091.25,-252.32000732421875,-243.1999969482422,551.760009765625
49,257315.2809882,-369.6600036621094,-445.9100036621094,-520.3909912109375,-20282.5,-104142.5,-78986.25,-177.83999633789062,-272.0799865722656,538.0800170898438
50,257315.3312215,-228.8719940185547,-555.8319702148438,-629.8250122070312,26591.25,-51625.0,-74453.75,-133.75999450683594,-282.7200012207031,527.4400024414062
51,257315.3756267,-123.22000122070312,-942.14501953125,-687.4089965820312,48693.75,-60331.25,-105122.5,-82.08000183105469,-238.63999938964844,544.1599731445312
52,257315.4370885,149.63299560546875,-996.1909790039062,-631.1060180664062,68486.25,-54740.0,-65878.75,-36.47999954223633,-215.83999633789062,556.3200073242188
53,257315.4873864,154.2689971923828,-872.2999877929688,-564.7379760742188,54661.25,-73596.25,-20352.5,-12.15999984741211,-174.8000030517578,573.0399780273438
54,257315.5139277,186.5989990234375,-1037.365966796875,-496.9670104980469,37511.25,-90457.5,-35542.5,21.280000686645508,-159.60000610351562,559.3599853515625
55,257315.5854604,-127.73400115966797,-951.1119995117188,-507.5199890136719,-17211.25,-92137.5,-47180.0,83.5999984741211,-152.0,533.52001953125
56,257315.6108213,-34.46500015258789,-867.60302734375,-524.2340087890625,-48291.25,-50365.0,-36426.25,121.5999984741211,-173.27999877929688,524.4000244140625
57,257315.6712557,5.428999900817871,-602.4359741210938,-608.4749755859375,-45351.25,-27693.75,-27431.25,123.12000274658203,-180.8800048828125,495.5199890136719
58,257315.7204594,26.413000106811523,-761.8289794921875,-628.7269897460938,-34816.25,-38377.5,-8137.5,164.16000366210938,-182.39999389648438,490.9599914550781
59,257315.7914562,-204.8990020751953,-743.2239990234375,-592.4929809570312,-16651.25,-28918.75,-21166.25,176.32000732421875,-197.60000610351562,475.760009765625
60,257315.81817,-27.694000244140625,-1023.2750244140625,-488.30499267578125,-11943.75,-20842.5,297.5,171.75999450683594,-190.0,463.6000061035156
61,257315.8647405,-108.33599853515625,-791.6580200195312,-757.802978515625,-34361.25,-50487.5,-4033.75,182.39999389648438,-190.0,437.760009765625
62,257315.9210886,-248.81900024414062,-826.427978515625,-657.7020263671875,-45447.5,-47897.5,38482.5,199.1199951171875,-220.39999389648438,418.0
63,257315.9606704,-426.0849914550781,-419.25299072265625,-599.9959716796875,-53086.25,-12075.0,37161.25,214.32000732421875,-252.32000732421875,418.0
64,257316.0294414,-196.11500549316406,-398.8179931640625,-583.4650268554688,18523.75,13317.5,-22872.5,209.75999450683594,-270.55999755859375,395.20001220703125
65,257316.0626616,-2.318000078201294,-882.7919921875,-607.7429809570312,31473.75,39943.75,-31403.75,202.16000366210938,-238.63999938964844,418.0
66,257316.1518438,179.8280029296875,-906.6430053710938,-721.9349975585938,8505.0,12171.25,13422.5,188.47999572753906,-218.8800048828125,418.0
67,257316.179496,-26.291000366210938,-689.7880249023438,-914.14599609375,1015.0,-39523.75,60707.5,199.1199951171875,-253.83999633789062,431.67999267578125
68,257316.2169178,-407.17498779296875,-641.719970703125,-646.1729736328125,119035.0,15995.0,-6300.0,196.0800018310547,-249.27999877929688,416.4800109863281
69,257316.2651998,-192.21099853515625,-1054.01904296875,-495.8080139160156,34405.0,77656.25,-7323.75,185.44000244140625,-211.27999877929688,445.3599853515625
70,257316.3122994,-12.626999855041504,-563.822998046875,-500.1390075683594,-71618.75,43111.25,9887.5,148.9600067138672,-224.9600067138672,445.3599853515625
71,257316.37685,-161.71099853515625,-615.7340087890625,-503.12799072265625,13947.5,8583.75,42577.5,136.8000030517578,-240.16000366210938,449.9200134277344
72,257316.4107874,-289.8110046386719,-869.7990112304688,-494.8320007324219,42778.75,-5661.25,18541.25,121.5999984741211,-240.16000366210938,463.6000061035156
73,257316.4601911,-409.0050048828125,-685.8839721679688,-732.3660278320312,15986.25,28035.0,65476.25,114.0,-228.0,448.3999938964844
74,257316.5444574,-520.2080078125,-570.0449829101562,-819.291015625,65852.5,63218.75,151908.75,80.55999755859375,-232.55999755859375,489.44000244140625
75,257316.5711579,-447.8009948730469,-1195.35595703125,-626.10400390625,40906.25,98997.5,155478.75,34.959999084472656,-232.55999755859375,503.1199951171875
76,257316.6210816,-164.6999969482422,-586.8200073242188,-502.94500732421875,-6825.0,44537.5,91183.75,-27.360000610351562,-256.8800048828125,507.67999267578125
77,257316.664489,-260.8970031738281,-548.6339721679688,-369.8429870605469,-24246.25,36505.0,43732.5,-60.79999923706055,-269.0400085449219,501.6000061035156
78,257316.7330506,-501.9079895019531,-976.9149780273438,-426.9389953613281,33075.0,45368.75,23108.75,-92.72000122070312,-258.3999938964844,507.67999267578125
79,257316.7864171,-185.7449951171875,-692.8989868164062,-688.4459838867188,25156.25,56052.5,73753.75,-123.12000274658203,-247.75999450683594,518.3200073242188
80,257316.8192189,-297.802001953125,-973.5599975585938,-864.1259765625,69667.5,40381.25,3053.75,-135.27999877929688,-212.8000030517578,533.52001953125
81,257316.8680883,-36.35599899291992,-964.593017578125,-799.2830200195312,-54600.0,83685.0,-51266.25,-162.63999938964844,-206.72000122070312,527.4400024414062
82,257316.9243742,81.61799621582031,-559.4310302734375,-665.2659912109375,-74996.25,50977.5,-40853.75,-179.36000061035156,-223.44000244140625,538.0800170898438
83,257316.9804862,81.3740005493164,-719.0070190429688,-597.4340209960938,-23747.5,-13011.25,-3701.25,-191.52000427246094,-250.8000030517578,516.7999877929688
84,257317.021883,-213.19500732421875,-767.0139770507812,-567.7269897460938,-2756.25,-40320.0,-4357.5,-167.1999969482422,-255.36000061035156,516.7999877929688
85,257317.0889507,-293.04400634765625,-763.5369873046875,-825.573974609375,-10053.75,-4628.75,-27790.0,-171.75999450683594,-264.4800109863281,507.67999267578125
86,257317.114731,-207.76600646972656,-693.6309814453125,-1086.7149658203125,-25611.25,-7516.25,36820.0,-144.39999389648438,-273.6000061035156,527.4400024414062
87,257317.1628154,-269.3760070800781,-925.4310302734375,-836.7369995117188,-27763.75,-8373.75,60768.75,-145.9199981689453,-287.2799987792969,513.760009765625
88,257317.222173,-244.73199462890625,-197.88400268554688,-526.2470092773438,-118125.0,28157.5,41790.0,-171.75999450683594,-313.1199951171875,490.9599914550781
89,257317.2605799,-170.8000030517578,2.622999906539917,-515.9990234375,-42192.5,27475.0,33810.0,-168.72000122070312,-363.2799987792969,462.0799865722656
90,257317.3297593,-350.5669860839844,-508.3739929199219,-322.26300048828125,251492.5,47678.75,43356.25,-208.24000549316406,-304.0,480.32000732421875
91,257317.3690866,-32.08599853515625,-1001.1320190429688,-920.3679809570312,17368.75,65765.0,19853.75,-246.24000549316406,-238.63999938964844,525.9199829101562
92,257317.4425464,-20.618000030517578,-702.5980224609375,-986.9190063476562,-15977.5,43942.5,-6483.75,-258.3999938964844,-240.16000366210938,507.67999267578125
93,257317.4654245,143.28900146484375,-891.5150146484375,-704.7329711914062,7288.75,41728.75,-27343.75,-278.1600036621094,-246.24000549316406,503.1199951171875
94,257317.5188193,214.96400451660156,-427.6709899902344,-551.56201171875,-59780.0,-23327.5,-73823.75,-288.79998779296875,-261.44000244140625,509.20001220703125
95,257317.5774854,84.9729995727539,-655.0789794921875,-497.02801513671875,-74270.0,-50688.75,-32296.25,-234.0800018310547,-291.8399963378906,489.44000244140625
96,257317.6119389,-360.1440124511719,-655.75,-827.5260009765625,-10561.25,-30082.5,-16528.75,-226.47999572753906,-304.0,494.0
